species_name,ecomorphology,depth_preference,piscivore
Alticorpus macrocleithrum,deep benthic,pelagic,non-piscivore
Astatotilapia calliptera,astatotilapia,benthopelagic,non-piscivore
Astatotilapia gigliolii,astatotilapia,benthopelagic,non-piscivore
Astatotilapia sp Ruaha Blue,astatotilapia,benthopelagic,non-piscivore
Chindongo elongatus,mbuna,demersal,non-piscivore
Copadichromis likomae,utaka,benthopelagic,non-piscivore
Copadichromis quadrimaculatus,utaka,benthopelagic,non-piscivore
Copadichromis trimaculatus,utaka,benthopelagic,non-piscivore
Copadichromis virginalis,utaka,benthopelagic,non-piscivore
Dimidiochromis compressiceps,shallow benthic,benthopelagic,piscivore
Diplotaxodon limnothrissa,diplotaxodon,pelagic,non-piscivore
Diplotaxodon macrops,diplotaxodon,pelagic,non-piscivore
Genyochromis mento,mbuna,demersal,piscivore
Hemitilapia oxyrhynchus,shallow benthic,benthopelagic,non-piscivore
Iodotropheus sprengerae,mbuna,demersal,non-piscivore
Lethrinops albus,deep benthic,demersal,non-piscivore
Lethrinops auritus,deep benthic,demersal,non-piscivore
Lethrinops gossei,deep benthic,demersal,non-piscivore
Maylandia zebra,mbuna,demersal,non-piscivore
Nimbochromis linni,shallow benthic,demersal,piscivore
Nimbochromis livingstonii,shallow benthic,demersal,piscivore
Otopharynx speciosus,shallow benthic,demersal,piscivore
Otopharynx tetrastigma,shallow benthic,demersal,non-piscivore
Pallidochromis tokolosh,diplotaxodon,pelagic,piscivore
Petrotilapia genalutea,mbuna,demersal,non-piscivore
Placidochromis johnstoni,shallow benthic,benthopelagic,non-piscivore
Placidochromis milomo,shallow benthic,benthopelagic,non-piscivore
Rhamphochromis esox,rhamphochromis,pelagic,piscivore
Rhamphochromis longiceps,rhamphochromis,pelagic,piscivore
Rhamphochromis woodi,rhamphochromis,pelagic,piscivore
Trematocranus placodon,shallow benthic,demersal,non-piscivore
Tropheops tropheops,mbuna,demersal,non-piscivore
Rhamphochromis ferox,rhamphochromis,pelagic,piscivore
Chilotilapia rhoadesii,shallow benthic,benthopelagic,non-piscivore
Cheilochromis euchilus,shallow benthic,benthopelagic,non-piscivore
Diplotaxodon aeneus,diplotaxodon,pelagic,non-piscivore
Cynotilapia afra,mbuna,demersal,non-piscivore
Diplotaxodon argenteus,diplotaxodon,pelagic,piscivore
Tyrannochromis macrostoma,shallow benthic,demersal,piscivore
Mylochromis anaphyrmus,shallow benthic,demersal,non-piscivore
Tramitichromis brevis,deep benthic,demersal,non-piscivore
Aulonocara nyassae,deep benthic,benthopelagic,non-piscivore
Stigmatochromis macrorhynchos,shallow benthic,benthopelagic,piscivore
Copadichromis chrysonotus,utaka,benthopelagic,non-piscivore
Protomelas spilopterus,shallow benthic,benthopelagic,piscivore
Otopharynx lithobates,shallow benthic,demersal,non-piscivore
Placidochromis electra,shallow benthic,benthopelagic,non-piscivore
Nimbochromis polystigma,shallow benthic,demersal,piscivore